bigram,count
ml ml,101247
ml tester,36710
tester box,33043
box niche,31527
edp ml,19518
brand new,12718
sample vial,12212
ml sample,12209
box designer,11825
ml box,10987
edt ml,10920
tom ford,10529
francis kurkdjian,9989
ml brand,9417
box cap,9230
maison francis,9227
cap niche,9001
niche maison,8738
designer chanel,8301
parfum ml,7433
new sealed,6987
ml spray,6966
niche creed,6754
cap box,6389
tester cap,6029
sealed niche,5876
acqua di,5127
bleu chanel,4758
chanel allure,4687
louis vuitton,4640
